Symbol,Instrument_name,pe_ratio,book_value,dividend_yield
CUMMINSIND,Cummins India Limited,36.764313,219.296,0.0135
HINDUNILVR,Hindustan Unilever Limited,58.477417,214.275,0.0156
LTIM,LTIMindtree Limited,37.314663,610.291,0.0108
POWERGRID,Power Grid Corporation of India Limited,12.497027,93.286,0.0538
AUBANK,AU Small Finance Bank Limited,30.961218,176.22,0.0013
BAJAJFINSV,Bajaj Finserv Ltd.,36.6272,319.115,0.0005
NESTLEIND,Nestlé India Limited,78.74021,296.295,0.023
NMDC,NMDC Limited,9.097951,83.514,0.0313
PGHH,Procter & Gamble Hygiene and Health Care Limited,76.9234,291.428,0.0121
BPCL,Bharat Petroleum Corporation Limited,3.3908803,333.319,0.0571
ULTRACEMCO,UltraTech Cement Limited,45.662403,1948.019,0.0042
MANKIND,Mankind Pharma Limited,64.509605,210.402,0
ZYDUSLIFE,Zydus Lifesciences Limited,23.04395,185.059,0.0094
RVNL,Rail Vikas Nigam Limited,23.239437,37.91,0.0128999995
PIDILITIND,Pidilite Industries Limited,86.209625,147.995,0.0043
AMBUJACEM,Ambuja Cements Limited,49.002216,165.58,0.0057
MCDOWELL-N,United Spirits Limited,66.23508,95.945,0.0038
HINDALCO,Hindalco Industries Limited,13.660856,447.637,0.0058
GRASIM,Grasim Industries Limited,20.000496,1267.118,0.005
TATACONSUM,Tata Consumer Products Limited,68.47131,173.846,0.009
ADANIPORTS,Adani Ports and Special Economic Zone Limited,28.25256,225.38,0.006
DLF,DLF Limited,69.453636,153.174,0.0064
SUNPHARMA,Sun Pharmaceutical Industries Limited,34.605114,249.325,0.0093
LICHSGFIN,LIC Housing Finance Limited,6.510307,531.404,0.0173
BATAINDIA,Bata India Limited,71.94753,108.969,0.0083
SBICARD,SBI Cards and Payment Services Limited,30.488256,116.821,0.0034
PEL,Piramal Enterprises Limited,5.7273626,1209.412,0.0334
GUJGASLTD,Gujarat Gas Limited,23.809654,102.841,0.0153
ADANIENT,Adani Enterprises Limited,109.89302,298.9,0.0005
PERSISTENT,Persistent Systems Limited,70.424736,602.408,0.0062
MSUMI,Motherson Sumi Wiring India Limited,51.991528,2.956,0.0106
BHEL,Bharat Heavy Electricals Limited,852.5,74.484,0.0023
POONAWALLA,Poonawalla Fincorp Limited,22.98654,101.976,0.0049
